iter	Accuracy	MultiClass
575	0.8995400444	0.4002755482
576	0.8997150275	0.3998828126
577	0.9000453528	0.3993122482
578	0.900309613	0.3986372296
579	0.9004899528	0.3981822512
580	0.9007185021	0.3976517499
581	0.9009899045	0.3968668088
582	0.9012988033	0.3962858939
583	0.9014041503	0.3958353514
584	0.9015987744	0.3953865665
585	0.9017612587	0.3950619326
586	0.9018612491	0.3947944082
587	0.902111225	0.3942208586
588	0.9023076346	0.3935934917
589	0.9024826177	0.3931162218
590	0.9027790177	0.3923369443
591	0.9029325744	0.3919226427
592	0.9030450635	0.3917189514
593	0.9032682563	0.3912192786
594	0.9033593189	0.3910006334
595	0.9034164563	0.3907562373
596	0.9036414346	0.3902927218
597	0.9038396297	0.389727793
598	0.9040860346	0.3892556287
599	0.9042145936	0.3888896763
600	0.9044592129	0.3883054134
601	0.9045788442	0.3877010632
602	0.9048913141	0.3869932074
603	0.9051234345	0.3865426649
604	0.9052341381	0.3861865887
605	0.9054251911	0.3857301874
606	0.9054858996	0.3854128352
607	0.9056376707	0.3849837192
608	0.9057519453	0.3845428298
609	0.905885861	0.3841975785
610	0.9061590489	0.3834873791
611	0.9063661718	0.3827308951
612	0.9066518586	0.3822869647
613	0.9069321887	0.3816427746
614	0.9072214465	0.38107062
615	0.9073821453	0.3805939639
616	0.9074178561	0.3803081377
617	0.9075946248	0.379981523
618	0.9077338971	0.3794981154
619	0.9077999621	0.3792917179
620	0.9078767405	0.3789699576
621	0.9080642224	0.3786308162
622	0.9080910055	0.378461664
623	0.9082874151	0.3779366867
624	0.9084320441	0.377528495
625	0.9085856007	0.3771224795
626	0.9087034465	0.3767859048
627	0.9088748585	0.3763076585
628	0.9091087645	0.3754648826
629	0.9095265814	0.3743800821
630	0.9097979838	0.3737719655
631	0.910042603	0.3729907071
632	0.9101158103	0.3727073639
633	0.910272938	0.3722862271
634	0.9105604102	0.3718265058
635	0.9106943259	0.3714332959
636	0.9108710946	0.3710497113
637	0.9109425163	0.3709161304
638	0.9109817982	0.3705374002
639	0.9112228464	0.3699774932
640	0.9114871066	0.3693586076
641	0.911610309	0.3686889456
642	0.9119567042	0.3680628899
643	0.9121495427	0.3675617664
644	0.9121781114	0.3674262326
645	0.9123120271	0.3670061559
646	0.9123120271	0.3668654049
647	0.9125387909	0.3663309141
648	0.9126798487	0.3659600514
649	0.9131226632	0.3650022197
650	0.9135583354	0.364157993
651	0.9137136776	0.3638612303
652	0.9138100969	0.3634685785
653	0.9139511547	0.3631210115
654	0.9141314945	0.3625893664
655	0.9143421884	0.3620650308
656	0.9144546776	0.3617767494
657	0.9145600246	0.361469134
658	0.9146528728	0.3612312105
659	0.9147778607	0.3609201356
660	0.9150760462	0.3602867424
661	0.9153081667	0.359706776
662	0.9154242269	0.3594014762
663	0.91561528	0.359006983
664	0.915724198	0.3586116807
665	0.9158938245	0.3580339184
666	0.916188439	0.3573859061
667	0.9164259161	0.3568502156
668	0.9164741257	0.3565616831
669	0.9166473233	0.356051325
670	0.9168723016	0.3557102306
671	0.9168794438	0.3555299746
672	0.9171115642	0.3549678915
673	0.9171972703	0.3547159627
674	0.9173918944	0.35418694
675	0.9174543883	0.353826958
676	0.9175829474	0.3535367237
677	0.9177632871	0.3532280481
678	0.9179436269	0.3527625517
679	0.9178954172	0.352589103
680	0.9180221907	0.3522580523
681	0.9181828895	0.3518850693
682	0.9183346606	0.3515833127
683	0.9184828606	0.3511876478
684	0.9186346317	0.3508492038
685	0.9189096051	0.3501813553
686	0.9189631714	0.3499603944
687	0.9189774557	0.3497780739
688	0.9191327979	0.3493073603
689	0.9193292075	0.3489665729
690	0.9195881111	0.3484066938
691	0.9197166702	0.3480183384
692	0.9198541569	0.347626942
693	0.9199880726	0.3471919114
694	0.9200702075	0.3466734346
695	0.9202684027	0.3463870783
696	0.9204023183	0.3460552744
697	0.9204790967	0.3457874988
698	0.9206380099	0.3454091034
699	0.9206933617	0.3449318894
700	0.9207862099	0.3446207308
701	0.9209272677	0.3441633809
702	0.9210308292	0.3437395936
703	0.9211379617	0.3434039954
704	0.9213718677	0.3428468784
705	0.9214986412	0.3424759041
706	0.9217718291	0.3420126954
707	0.9218593207	0.3417953615
708	0.9219593111	0.3415204159
709	0.9221610773	0.3411636702
710	0.9221985737	0.3409298199
711	0.92240034	0.340534155
712	0.9225503255	0.3402053083
713	0.9225824653	0.3400059693
714	0.9227538773	0.3394559665
715	0.9228413689	0.3391967281
716	0.9229699279	0.3388473199
717	0.9230413496	0.3386284236
718	0.9232609713	0.3379978761
719	0.9233877448	0.3375850532
720	0.9235216604	0.3370386215
721	0.923675217	0.3367335449
722	0.9240055423	0.3362088187
723	0.9240251833	0.3359653433
724	0.9241412435	0.3356778989
725	0.9243358676	0.3352594404
726	0.9244644266	0.3348846997
727	0.9245465616	0.3346778837
728	0.9245787013	0.3343167299
729	0.9246715495	0.3341452621
730	0.9247518989	0.3337450775
731	0.9249965182	0.3333325615
732	0.9250054459	0.3331177105
733	0.9251215061	0.332614634
734	0.925262564	0.3321212385
735	0.9253429134	0.3318636462
736	0.925601817	0.331391454
737	0.9259071447	0.330612567
738	0.9260374892	0.3300876735
739	0.9261089109	0.3298680797
740	0.9262214001	0.3295430831
741	0.926303535	0.329300919
742	0.9266106483	0.328725528
743	0.9266463591	0.3285154199
744	0.9266981398	0.3282154768
745	0.9268070579	0.3278552157
746	0.926958829	0.3274488654
747	0.9271409543	0.3270251061
748	0.9272088049	0.3268869497
749	0.9273159374	0.3264737362
750	0.9275391302	0.3258901988
751	0.9277194699	0.3255410974
752	0.9277712506	0.325233203
753	0.9278551711	0.324964172
754	0.9280265832	0.3244218415
755	0.9283122699	0.3239656076
756	0.9285158217	0.3236373189
757	0.9287140169	0.3230090313
758	0.9287586554	0.3228071255
759	0.9287318723	0.3224840819
760	0.9289425663	0.3222015478
761	0.9290675542	0.3217866603
