iter	Passed	Remaining
580	31647	22823
581	31706	22772
582	31761	22718
583	31814	22662
584	31866	22606
585	31920	22551
586	31971	22494
587	32030	22443
588	32086	22390
589	32139	22334
590	32195	22281
591	32248	22225
592	32296	22166
593	32352	22112
594	32405	22057
595	32456	22000
596	32517	21950
597	32573	21897
598	32626	21841
599	32677	21784
600	32731	21730
601	32788	21677
602	32851	21628
603	32908	21576
604	32964	21522
605	33017	21467
606	33066	21408
607	33119	21353
608	33173	21298
609	33223	21240
610	33282	21189
611	33343	21139
612	33399	21085
613	33458	21034
614	33519	20983
615	33579	20932
616	33628	20874
617	33679	20818
618	33733	20762
619	33782	20705
620	33837	20651
621	33891	20596
622	33946	20542
623	34007	20491
624	34066	20440
625	34121	20385
626	34176	20331
627	34230	20276
628	34289	20224
629	34353	20175
630	34409	20122
631	34470	20071
632	34523	20016
633	34578	19961
634	34631	19906
635	34685	19851
636	34738	19796
637	34785	19737
638	34835	19680
639	34893	19627
640	34952	19575
641	35010	19523
642	35073	19472
643	35130	19420
644	35177	19361
645	35234	19308
646	35282	19249
647	35341	19197
648	35396	19143
649	35457	19092
650	35518	19041
651	35568	18984
652	35625	18930
653	35677	18875
654	35735	18822
655	35788	18767
656	35837	18709
657	35890	18654
658	35943	18599
659	36004	18547
660	36063	18495
661	36124	18444
662	36179	18390
663	36236	18336
664	36292	18282
665	36352	18231
666	36409	18177
667	36466	18123
668	36518	18068
669	36574	18014
670	36627	17959
671	36674	17900
672	36728	17845
673	36780	17789
674	36839	17737
675	36891	17681
676	36943	17625
677	36994	17569
678	37051	17516
679	37098	17458
680	37152	17403
681	37207	17349
682	37258	17292
683	37313	17238
684	37366	17182
685	37427	17131
686	37478	17075
687	37529	17019
688	37585	16965
689	37638	16910
690	37695	16856
691	37750	16802
692	37803	16747
693	37861	16694
694	37924	16642
695	37975	16586
696	38031	16533
697	38082	16477
698	38131	16420
699	38188	16366
700	38240	16310
701	38298	16257
702	38355	16204
703	38410	16149
704	38469	16097
705	38523	16042
706	38580	15988
707	38632	15933
708	38680	15875
709	38735	15821
710	38785	15765
711	38840	15710
712	38896	15656
713	38949	15601
714	39010	15549
715	39064	15494
716	39120	15440
717	39169	15383
718	39229	15331
719	39284	15277
720	39343	15224
721	39395	15169
722	39453	15115
723	39504	15059
724	39548	15001
725	39600	14945
726	39655	14891
727	39704	14834
728	39757	14779
729	39807	14723
730	39862	14668
731	39920	14615
732	39974	14561
733	40030	14507
734	40091	14454
735	40140	14398
736	40197	14344
737	40266	14295
738	40324	14241
739	40374	14185
740	40431	14131
741	40482	14076
742	40542	14023
743	40591	13966
744	40645	13912
745	40700	13857
746	40756	13803
747	40813	13750
748	40863	13693
749	40920	13640
750	40981	13587
751	41035	13533
752	41087	13477
753	41141	13422
754	41197	13368
755	41254	13315
756	41309	13260
757	41367	13207
758	41418	13151
759	41471	13096
760	41528	13042
761	41582	12987
762	41634	12932
763	41686	12876
764	41741	12822
765	41801	12769
766	41853	12714
767	41911	12660
768	41960	12604
769	42020	12551
770	42081	12498
771	42133	12443
772	42181	12387
773	42230	12330
774	42287	12277
775	42338	12221
776	42396	12167
777	42447	12112
778	42506	12058
779	42560	12004
780	42611	11948
781	42667	11894
782	42723	11840
783	42774	11784
784	42829	11730
785	42883	11675
786	42932	11619
787	42983	11564
788	43037	11509
789	43099	11456
790	43153	11402
791	43213	11349
792	43269	11294
793	43325	11240
794	43378	11185
795	43437	11132
796	43496	11078
797	43544	11022
798	43601	10968
799	43657	10914
800	43710	10859
801	43770	10806
802	43828	10752
803	43887	10698
804	43944	10645
805	43999	10590
806	44049	10534
807	44096	10478
808	44154	10424
809	44211	10370
810	44263	10315
811	44323	10262
812	44377	10207
813	44435	10153
814	44495	10100
815	44546	10044
816	44601	9990
817	44651	9934
818	44711	9881
819	44762	9825
820	44814	9770
821	44871	9716
822	44932	9663
823	44988	9609
824	45042	9554
825	45092	9498
826	45146	9444
827	45199	9389
828	45251	9334
829	45306	9279
830	45359	9224
831	45416	9170
832	45468	9115
833	45523	9061
834	45581	9007
835	45628	8951
836	45683	8896
837	45739	8842
838	45789	8786
839	45846	8732
840	45904	8678
841	45961	8624
842	46012	8569
843	46064	8514
844	46117	8459
845	46171	8404
846	46226	8350
