iter	Accuracy	MultiClass
916	0.7254251701	1.057348135
917	0.7254251701	1.056935836
918	0.7255102041	1.056556338
919	0.7255952381	1.056181906
920	0.7255952381	1.05580598
921	0.7256802721	1.055400739
922	0.7257653061	1.055027221
923	0.7257653061	1.054635433
924	0.7258503401	1.054276198
925	0.7256802721	1.053885324
926	0.7257653061	1.053504664
927	0.7256802721	1.053130232
928	0.7256802721	1.052745087
929	0.7257653061	1.052359279
930	0.7257653061	1.051966744
931	0.7257653061	1.051588409
932	0.7259353741	1.051222281
933	0.7259353741	1.050844942
934	0.7259353741	1.050438706
935	0.7260204082	1.050031722
936	0.7261904762	1.049645498
